sign	id	agew_n	heightw_n	weightw_n	want_dietw_n	want_diet_1	id_p_createdw_n	waistw_n	bmi_finalw_n	bmi_1	recentw_n	seoul	metropol	otherregion	company	worker	etcwork	gender	married	d1	d2	d3	d4	loss_up	loss_down	loss_both	d_purpose1	d_purpose2	d_purpose3	diet_food	diet_clinic	20_female	PG01
0	rstrauss	0.48	0.28	0.33	0.40	2	0.78	0.06	0.46	2	0.51	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	1	1	0
0	sunjy	0.81	0.00	0.17	0.20	1	0.25	0.38	0.39	2	0.00	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0
0	avectoi7	0.48	0.61	0.30	0.28	2	0.81	0.63	0.25	2	0.83	1	0	0	1	0	0	1	0	1	1	0	1	0	0	1	0	1	0	1	0	1	0
0	flower5088	0.16	0.50	0.37	0.28	2	0.00	0.38	0.38	2	0.81	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0
0	s1199	0.22	1.00	0.57	0.48	2	0.17	0.38	0.36	2	1.00	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	1	1	0
0	distopia	0.22	0.89	0.63	0.08	1	1.00	0.88	0.49	2	0.05	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0
0	staryaya	0.11	0.78	0.37	0.08	1	0.65	0.25	0.25	1	0.53	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0
0	duhee22	0.05	0.61	0.17	0.20	1	0.17	0.25	0.10	1	0.63	1	0	0	0	0	1	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0
0	amy_ahn	0.54	0.33	0.37	0.28	2	0.00	0.25	0.47	2	0.39	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0
0	zzem	0.43	0.22	0.37	0.28	2	0.86	0.41	0.53	3	0.60	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0
0	3602620	0.70	0.28	0.27	0.40	2	0.11	0.38	0.37	2	0.61	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
0	jnlovesm	0.00	0.33	0.10	0.08	1	0.23	0.07	0.14	1	0.26	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0
0	ghtjs11	0.22	0.22	0.17	0.08	1	0.06	0.25	0.28	2	0.36	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0
0	jmercury	0.11	0.72	0.63	0.28	2	0.69	0.50	0.57	3	0.30	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0
0	kudo_shi	0.38	0.33	0.23	0.20	1	0.00	0.38	0.31	2	0.67	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0
0	ohjy04111	0.16	0.83	0.37	0.28	2	0.44	0.50	0.22	1	0.63	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0
0	an1052	0.38	0.33	0.43	0.20	1	0.76	0.41	0.55	3	0.38	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
0	yal2004	0.22	0.78	0.37	0.28	2	0.77	0.41	0.25	1	0.53	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0
0	ydimpna	0.75	0.33	0.00	0.00	1	0.03	0.00	0.00	1	0.10	0	0	1	0	0	1	1	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0
0	blue1004	0.38	0.22	0.20	0.12	1	1.00	0.25	0.32	2	0.38	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0
0	rabbit0504	0.48	0.50	0.50	0.36	2	0.02	0.25	0.54	3	0.35	1	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	0	0	1	1	1	0
0	bandits	0.16	0.50	0.23	0.20	1	0.08	0.13	0.23	1	0.88	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0
0	chojmi	0.32	1.00	0.33	0.44	2	0.78	0.50	0.07	1	0.80	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0
